"Name","Projected K%"
"Charlie Blackmon","0.158"
"Travis Jankowski","0.158"
"Kyle Tucker","0.158"
"Willie Calhoun","0.157"
"Wilmer Flores","0.156"
"Jose Trevino","0.156"
"Brendan Donovan","0.154"
"Hanser Alberto","0.153"
"Wander Franco","0.152"
"Yuli Gurriel","0.152"
"Nick Gordon","0.152"
"Mauricio Dubon","0.151"
"Josh Naylor","0.15"
"Luis Matos","0.149"
"Alec Burleson","0.146"
"Vinnie Pasquantino","0.146"
"Kevin Newman","0.145"
"Ronald Acuna Jr.","0.144"
"Pablo Reyes","0.144"
"Jose Fermin","0.143"
"Will Brennan","0.143"
"Alex Bregman","0.143"
"Luis Campusano","0.142"
"Luis Garcia","0.139"
"Miguel Rojas","0.138"
"Nico Hoerner","0.136"
"Jose Ramirez","0.132"
"Alejandro Kirk","0.131"
"Richie Palacios","0.13"
"Steven Kwan","0.127"
"Keibert Ruiz","0.126"
"David Fletcher","0.125"
"Tony Kemp","0.125"
"Jeff McNeil","0.119"
"Michael Stefanic","0.115"
"Ildemaro Vargas","0.108"
"Nick Madrigal","0.105"
"Ernie Clement","0.095"
"Michael Brantley","0.086"
"Luis Arraez","0.077"
